force, startX, endX, deltaX, deltaXDeg
0, 0, 0, 0, 0
200, -566, -273, 293, 13.183594
400, -351, 78, 429, 19.335938
600, 19, -136, -155, -7.031250
800, 156, 78, -78, -3.515625
1000, -351, -351, 0, 0.000000
1200, -273, -195, 78, 3.515625
1400, -58, 78, 136, 6.152344
1600, -273, -488, -215, -9.667969
1800, -195, -136, 59, 2.636719
2000, -195, 78, 273, 12.304688
2200, 156, 19, -137, -6.152344
2400, -58, -195, -137, -6.152344
2600, -273, -273, 0, 0.000000
2800, -136, -136, 0, 0.000000
3000, -195, -195, 0, 0.000000
3200, -58, -351, -293, -13.183594
3400, -136, -351, -215, -9.667969
3600, 19, -136, -155, -7.031250
3800, 19, 507, 488, 21.972656
4000, 10000, 10000, 0, 0.000000
4200, -3769, 2031, 5800, 261.035156
4400, 2851, 3359, 508, 22.851563
4600, -3515, 3867, 7382, 332.226563
4800, 3476, 5253, 1777, 79.980469
5000, -1757, 6503, 8260, 371.777344
5200, -2070, 7011, 9081, 408.691406
5400, -1621, 8710, 10331, 464.941406
5600, -2636, 9785, 12421, 558.984375
5800, -2597, 10000, 12597, 566.894531
6000, 2480, 10000, 7520, 338.378906
6200, -1347, 9687, 11034, 496.582031
6400, 2539, 10000, 7461, 335.742188
6600, -546, 9804, 10350, 465.820313
6800, -1679, 8769, 10448, 470.214844
7000, -1660, 9062, 10722, 482.519531
7200, 0, 10000, 10000, 450.000000
7400, -3828, 6718, 10546, 474.609375
7600, 585, 9921, 9336, 420.117188
7800, 292, 10000, 9708, 436.816406
8000, -546, 10000, 10546, 474.609375
8200, -3730, 7792, 11522, 518.554688
8400, -4394, 7675, 12069, 543.164063
8600, -1269, 10000, 11269, 507.128906
8800, 234, 9843, 9609, 432.421875
9000, -3437, 9062, 12499, 562.500000
9200, -3710, 8847, 12557, 565.136719
9400, -2929, 9550, 12479, 561.621094
9600, -1660, 10000, 11660, 524.707031
9800, -4550, 8222, 12772, 574.804688
10000, -39, 9921, 9960, 448.242188
